SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
540544,PSPPROJECT  ,B ,Q,415.00,416.80,405.00,406.00,405.25,414.45,100,2709,1106135.00,,INE488V01015,13-Nov-17,,
540545,BGJL        ,M ,Q,19.00,19.00,16.20,17.60,16.20,20.00,2,12000,211200.00,,INE986W01016,13-Nov-17,,
540550,YUG         ,M ,Q,40.00,40.00,38.60,38.60,38.60,42.85,4,16000,626600.00,,INE796W01019,13-Nov-17,,
540565,INDIGRID    ,IF,Q,94.51,94.51,94.45,94.48,94.45,94.30,6,61236,5786955.00,,INE219X23014,13-Nov-17,,
540570,SFIVL       ,XT,Q,4.55,4.55,4.55,4.55,4.55,4.65,12,499,2270.00,,INE717F01010,13-Nov-17,,
540575,STARCEMENT  ,B ,Q,120.00,120.00,113.05,115.30,115.30,115.90,213,15088,1735697.00,,INE460H01021,13-Nov-17,,
540593,HEOF1126RG  ,B ,Q,9.57,9.85,9.56,9.65,9.65,9.56,7,3031,29076.00,,INF179KB1T82,13-Nov-17,,
540594,HEOF1126RD  ,B ,Q,9.57,9.57,9.57,9.57,9.57,9.66,1,1000,9570.00,,INF179KB1T90,13-Nov-17,,
540595,TEJASNET    ,B ,Q,393.00,407.30,386.00,395.20,395.20,384.85,1934,62711,24762943.00,,INE010J01012,13-Nov-17,,
540596,ERIS        ,B ,Q,576.05,584.50,571.05,576.95,576.95,576.40,194,2833,1636350.00,,INE406M01024,13-Nov-17,,
540602,GTPL        ,B ,Q,146.40,147.00,144.30,145.10,144.30,146.95,46,1299,188999.00,,INE869I01013,13-Nov-17,,
540611,AUBANK      ,B ,Q,610.00,618.00,596.50,614.60,614.60,605.20,1102,27341,16702566.00,,INE949L01017,13-Nov-17,,
540616,ARTEMIS     ,B ,Q,125.00,125.00,120.05,120.35,120.05,123.75,55,2503,304588.00,,INE517U01013,13-Nov-17,,
540621,BHAGYAPROP  ,T ,Q,19.85,19.85,18.25,19.85,19.85,18.95,7,31,575.00,,INE363W01018,13-Nov-17,,
540637,HEOF1100RD  ,B ,Q,10.10,10.10,9.40,9.40,9.40,9.20,3,1000,9407.00,,INF179KB1V47,13-Nov-17,,
540642,SALASAR     ,B ,Q,294.35,297.70,288.65,296.20,295.10,291.65,227,13381,3930030.00,,INE170V01019,13-Nov-17,,
540647,GANGESSEC   ,T ,Q,107.00,109.00,105.50,108.70,108.70,110.85,28,808,85597.00,,INE335W01016,13-Nov-17,,
540648,PALASHSEC   ,T ,Q,85.50,92.45,84.85,85.05,85.05,89.10,16,2793,238435.00,,INE471W01019,13-Nov-17,,
540649,AVADHSUGAR  ,T ,Q,1180.00,1230.00,1172.05,1182.15,1182.15,1205.15,67,1198,1434029.00,,INE349W01017,13-Nov-17,,
540650,MAGADHSUGAR ,T ,Q,193.00,198.90,185.60,191.85,192.00,195.30,66,2155,408523.00,,INE347W01011,13-Nov-17,,
540653,SINTEXPLAST ,B ,Q,82.20,82.25,78.60,79.15,79.15,81.65,3870,579170,46363353.00,,INE501W01021,13-Nov-17,,
540654,GSTL        ,M ,Q,60.05,60.05,60.05,60.05,60.05,60.05,1,2000,120100.00,,INE632W01016,13-Nov-17,,
540669,UTINEXT50   ,B ,Q,298.50,299.00,295.00,295.00,295.00,299.45,6,126,37177.00,,INF789FC1N82,13-Nov-17,,
540673,SIS         ,B ,Q,842.15,850.90,842.10,847.55,848.25,840.25,193,3009,2554195.00,,INE285J01010,13-Nov-17,,
540678,COCHINSHIP  ,B ,Q,560.00,560.00,546.00,549.40,549.40,563.75,1520,43062,23720677.00,,INE704P01017,13-Nov-17,,
540679,SMSLIFE     ,T ,Q,445.00,445.00,430.00,432.25,432.25,445.05,13,425,184134.00,,INE320X01016,13-Nov-17,,
540680,KIOCL       ,B ,Q,482.35,482.35,482.35,482.35,482.35,459.40,59,7081,3415520.00,,INE880L01014,13-Nov-17,,
540681,AMML        ,M ,Q,10.25,10.28,10.00,10.00,10.00,9.27,3,30000,305300.00,,INE344X01016,13-Nov-17,,
540686,SMRUTHIORG  ,XD,Q,85.00,85.10,85.00,85.00,85.00,84.00,8,543,46160.00,,INE172E01011,13-Nov-17,,
540691,ABCAPITAL   ,B ,Q,194.95,198.35,193.50,194.35,194.35,194.80,6393,764073,149487162.00,,INE674K01013,13-Nov-17,,
540692,APEX        ,B ,Q,470.80,474.50,456.05,471.55,471.55,451.95,1798,108181,50775253.00,,INE346W01013,13-Nov-17,,
540694,ANG         ,M ,Q,86.00,88.40,86.00,87.00,88.40,85.00,17,27200,2347920.00,,INE236W01016,13-Nov-17,,
540695,DWL         ,M ,Q,21.75,23.50,21.75,23.00,23.50,21.00,6,36000,814800.00,,INE109Y01011,13-Nov-17,,
540697,AMFL        ,M ,Q,16.00,16.00,14.20,14.20,14.20,14.80,2,16000,241600.00,,INE319X01018,13-Nov-17,,
540698,NEL         ,M ,Q,9.00,9.10,9.00,9.10,9.10,9.20,4,24000,217200.00,,INE555X01017,13-Nov-17,,
540699,DIXON       ,B ,Q,2700.00,2723.65,2680.00,2699.55,2702.95,2687.75,402,4057,10959755.00,,INE935N01012,13-Nov-17,,
540700,BRNL        ,B ,Q,179.10,189.50,175.00,182.75,182.75,176.85,918,47172,8633337.00,,INE727S01012,13-Nov-17,,
540701,DCAL        ,B ,Q,307.00,307.00,289.65,291.30,291.30,305.40,511,46699,13718008.00,,INE385W01011,13-Nov-17,,
540702,LASA        ,T ,Q,134.30,138.70,134.20,137.10,137.10,136.15,73,6297,864319.00,,INE670X01014,13-Nov-17,,
540703,PROVESTSER  ,XD,Q,28.10,28.80,28.10,28.75,28.75,27.45,322,142468,4059115.00,,INE438C01010,13-Nov-17,,
540704,MATRIMONY   ,B ,Q,867.55,873.95,867.45,868.30,867.45,867.05,48,431,374584.00,,INE866R01028,13-Nov-17,,
540709,RELHOME     ,B ,Q,76.00,76.60,72.95,73.90,73.90,76.30,3309,681376,50996909.00,,INE217K01011,13-Nov-17,,
540710,CAPACITE    ,B ,Q,354.60,357.00,346.00,347.50,347.50,350.30,1547,211011,73711333.00,,INE264T01014,13-Nov-17,,
540715,SAGAR       ,M ,Q,32.60,32.70,32.00,32.00,32.00,32.25,5,15000,486600.00,,INE146Y01013,13-Nov-17,,
540716,ICICIGI     ,B ,Q,680.00,687.60,676.65,685.85,681.10,680.80,1891,22450,15328567.00,,INE765G01017,13-Nov-17,,
540717,PQIF        ,XD,Q,72.00,72.75,68.15,68.15,68.15,69.30,9,470,34015.00,,INE689M01017,13-Nov-17,,
540719,SBILIFE     ,B ,Q,674.90,680.85,663.90,665.60,665.60,674.80,1415,24703,16508596.00,,INE123W01016,13-Nov-17,,
540724,DIAMONDYD   ,B ,Q,1180.00,1180.00,1165.35,1175.20,1179.00,1175.05,228,1262,1483878.00,,INE393P01035,13-Nov-17,,
540725,SISL        ,M ,Q,67.00,80.30,67.00,79.95,80.00,66.95,61,189000,14457300.00,,INE932X01018,13-Nov-17,,
540726,TTFL        ,M ,Q,58.55,61.90,58.50,61.90,61.90,58.35,10,40000,2380000.00,,INE071Y01013,13-Nov-17,,
540729,VANTABIO    ,M ,Q,57.40,57.40,57.00,57.00,57.00,58.00,3,9000,514200.00,,INE695X01011,13-Nov-17,,
540735,IRIS        ,M ,Q,54.00,56.90,53.40,54.80,53.40,55.90,5,20000,1097800.00,,INE864K01010,13-Nov-17,,
540736,SIDDH       ,M ,Q,53.40,53.70,50.75,50.75,50.75,51.00,6,24000,1263200.00,,INE930X01012,13-Nov-17,,
540737,SGRL        ,M ,Q,36.30,36.50,36.00,36.40,36.25,36.15,9,54000,1957200.00,,INE414Y01015,13-Nov-17,,
540738,STL         ,M ,Q,133.50,134.00,133.50,134.00,134.00,133.50,2,2000,267500.00,,INE402Y01010,13-Nov-17,,
540743,GODREJAGRO  ,B ,Q,549.00,550.00,536.05,539.25,538.00,548.15,1802,370286,199589291.00,,INE850D01014,13-Nov-17,,
540744,MESCON      ,XT,Q,65.45,65.45,65.45,65.45,65.45,62.35,46,20150,1318817.00,,INE170N01016,13-Nov-17,,
540749,MASFIN      ,B ,Q,579.00,587.95,564.00,581.65,585.05,579.05,598,13410,7696895.00,,INE348L01012,13-Nov-17,,
540750,IEX         ,B ,Q,1585.75,1593.15,1567.00,1572.00,1572.00,1596.90,369,3162,4983021.00,,INE022Q01012,13-Nov-17,,
540755,GICRE       ,B ,Q,825.00,848.60,807.50,811.25,811.25,819.85,3887,82780,68536701.00,,INE481Y01014,13-Nov-17,,
540756,KAARYAFSL   ,M ,Q,48.05,51.90,48.05,51.50,51.90,48.00,15,45000,2251350.00,,INE282Y01016,13-Nov-17,,
540757,SCPL        ,M ,Q,86.45,87.95,84.20,85.05,85.00,85.00,25,83200,7104320.00,,INE501Y01019,13-Nov-17,,
540762,TIINDIA     ,T ,Q,307.55,307.55,290.00,290.50,297.00,292.95,389,75868,22980381.00,,INE974X01010,13-Nov-17,,
